Title,Release Date,Price,Review Summary
Battlefield™ 6,"10 Oct, 2025",N/A,"Very Positive<br>81% of the 51,942 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
Counter-Strike 2,"21 Aug, 2012",N/A,"Very Positive<br>86% of the 2,421,890 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
ARC Raiders,"30 Oct, 2025",N/A,No reviews
Escape From Duckov,"16 Oct, 2025",N/A,Overwhelmingly Positive<br>96% of the 587 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.
Steam Deck,"17 Jan, 2025",N/A,No reviews
Fellowship,"16 Oct, 2025",N/A,"Very Positive<br>84% of the 2,953 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
Hogwarts Legacy,"10 Feb, 2023",N/A,"Very Positive<br>91% of the 131,972 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
Digimon Story Time Stranger,"2 Oct, 2025",N/A,"Very Positive<br>93% of the 3,593 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
EA SPORTS FC™ 26,"25 Sep, 2025",N/A,"Mixed<br>49% of the 4,004 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
BALL x PIT,"15 Oct, 2025",N/A,"Overwhelmingly Positive<br>96% of the 1,324 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
PUBG: BATTLEGROUNDS,"21 Dec, 2017",N/A,"Mixed<br>65% of the 435,875 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
Dota 2,"9 Jul, 2013",N/A,"Very Positive<br>88% of the 808,623 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
Necesse,"16 Oct, 2025",N/A,"Overwhelmingly Positive<br>95% of the 8,093 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
Red Dead Redemption 2,"5 Dec, 2019",N/A,"Very Positive<br>91% of the 264,401 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
Borderlands 4,"11 Sep, 2025",N/A,"Mixed<br>64% of the 35,151 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
Apex Legends™,"4 Nov, 2020",N/A,"Mostly Positive<br>76% of the 428,992 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences."
